k,score
5,0.5210269289800474
7,0.5252406864796988
9,0.5265801590623691
11,0.5291195758336821
13,0.529593972373378
15,0.5328589367936376
17,0.5342263150551136
19,0.5350076740616716
21,0.5375191851541788
23,0.5396400167434072
25,0.5414817915445793
27,0.5389144690944606
29,0.5395004883493791
31,0.5388307520580439
33,0.5408399609320497
35,0.53866331798521
37,0.5403097530347426
39,0.5420957164783033
41,0.5434072833821683
43,0.5434072833821683
45,0.5448025673224501
47,0.5434910004185851
49,0.543044509557695
51,0.5463373796567601
53,0.5477605692758476
55,0.5454443979349797
57,0.5467280591600391
59,0.5460862285475094
61,0.547732663597042
63,0.5492395702525463
65,0.5504116087623832
67,0.5489605134644899
69,0.548653550997628
71,0.5478163806334588
73,0.5487093623552394
75,0.5485419282824054
77,0.5493232872889633
79,0.5485419282824054
81,0.548346588530766
83,0.5489884191432957
85,0.5491279475373239
87,0.5497697781498536
89,0.5513045904841635
91,0.5515557415934144
93,0.5514441188781918
95,0.5524208176363891
97,0.5511092507325241
99,0.5531463652853356
101,0.5526998744244455
103,0.5537881958978652
105,0.5542904981163668
107,0.5549602344077019
109,0.5532858936793638
111,0.5535928561462258
113,0.553341705036975
115,0.5524208176363891
117,0.5530068368913075
119,0.552951025533696
121,0.5534812334310032
123,0.5545695549044231
125,0.5550718571229245
127,0.5550439514441189
129,0.5561043672387331
131,0.5556857820566485
133,0.5559648388447048
135,0.5564113297055951
137,0.554123064043533
139,0.5537602902190596
141,0.5527835914608623
143,0.5534533277521976
145,0.5535928561462258
147,0.5548207060136738
149,0.554569554904423
151,0.5541788754011441
153,0.5545416492256174
155,0.5534533277521976
157,0.5544021208315891
159,0.5534812334310032
161,0.5534812334310033
163,0.552811497139668
165,0.5526440630668341
167,0.553034742570113
169,0.5529231198548905
171,0.5525324403516116
173,0.5523929119575834
175,0.5523929119575833
177,0.5534533277521976
179,0.5546532719408399
181,0.5537044788614482
183,0.5535928561462258
185,0.5521975722059439
187,0.5539277242918933
189,0.5530068368913074
191,0.5519464210966932
193,0.552727780103251
195,0.5526440630668341
197,0.5528673084972792
199,0.5526998744244455
201,0.5535370447886144
203,0.553034742570113
205,0.5533696107157806
207,0.5540951583647272
209,0.5547090832984513
211,0.5548486116924793
213,0.5549044230500908
215,0.5550997628017302
217,0.5547090832984513
219,0.5552113855169527
221,0.5554625366262035
223,0.5551834798381471
225,0.55465327194084
227,0.554262592437561
229,0.5538998186130877
231,0.5544579321892005
233,0.5550997628017301
235,0.5550997628017301
237,0.5544579321892005
239,0.5546532719408399
241,0.5542904981163665
243,0.555267196874564
245,0.5551555741593415
247,0.5552392911957584
249,0.5551555741593415
